YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,DataSource,Data_Value_Type,Data_Value,Gender,Age,GeoLocation,Source_File_USCB,Data_Pulled,LocationID,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,SubMeasureID,DisplayOrder
2017,AL,Alabama,Census,Census - Population,United States Census Bureau,Count,4874747,Total,Total,"(32.84057112200048, -86.63186076199969)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,01,CEN,100CEN,100POP,1GEN,8AGE,CEN01,1
2017,AL,Alabama,Census,Census - Population,United States Census Bureau,Count,3779274,Total,18+,"(32.84057112200048, -86.63186076199969)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,01,CEN,100CEN,100POP,1GEN,10AGE,CEN02,2
2017,AL,Alabama,Census,Census - Population,United States Census Bureau,Count,1095473,Total,<18,"(32.84057112200048, -86.63186076199969)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,01,CEN,100CEN,100POP,1GEN,11AGE,CEN03,3
2017,AL,Alabama,Census,Census - Population,United States Census Bureau,Count,2359836,Male,Total,"(32.84057112200048, -86.63186076199969)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,01,CEN,100CEN,100POP,2GEN,8AGE,CEN04,4
2017,AL,Alabama,Census,Census - Population,United States Census Bureau,Count,1801775,Male,18+,"(32.84057112200048, -86.63186076199969)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,01,CEN,100CEN,100POP,2GEN,10AGE,CEN05,5
2017,AL,Alabama,Census,Census - Population,United States Census Bureau,Count,558061,Male,<18,"(32.84057112200048, -86.63186076199969)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,01,CEN,100CEN,100POP,2GEN,11AGE,CEN06,6
2017,AL,Alabama,Census,Census - Population,United States Census Bureau,Count,2514911,Female,Total,"(32.84057112200048, -86.63186076199969)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,01,CEN,100CEN,100POP,3GEN,8AGE,CEN07,7
2017,AL,Alabama,Census,Census - Population,United States Census Bureau,Count,1977499,Female,18+,"(32.84057112200048, -86.63186076199969)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,01,CEN,100CEN,100POP,3GEN,10AGE,CEN08,8
2017,AL,Alabama,Census,Census - Population,United States Census Bureau,Count,537412,Female,<18,"(32.84057112200048, -86.63186076199969)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,01,CEN,100CEN,100POP,3GEN,11AGE,CEN09,9
2017,AK,Alaska,Census,Census - Population,United States Census Bureau,Count,739795,Total,Total,"(64.84507995700051, -147.72205903599973)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,02,CEN,100CEN,100POP,1GEN,8AGE,CEN01,1
2017,AK,Alaska,Census,Census - Population,United States Census Bureau,Count,554867,Total,18+,"(64.84507995700051, -147.72205903599973)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,02,CEN,100CEN,100POP,1GEN,10AGE,CEN02,2
2017,AK,Alaska,Census,Census - Population,United States Census Bureau,Count,184928,Total,<18,"(64.84507995700051, -147.72205903599973)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,02,CEN,100CEN,100POP,1GEN,11AGE,CEN03,3
2017,AK,Alaska,Census,Census - Population,United States Census Bureau,Count,386792,Male,Total,"(64.84507995700051, -147.72205903599973)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,02,CEN,100CEN,100POP,2GEN,8AGE,CEN04,4
2017,AK,Alaska,Census,Census - Population,United States Census Bureau,Count,291875,Male,18+,"(64.84507995700051, -147.72205903599973)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,02,CEN,100CEN,100POP,2GEN,10AGE,CEN05,5
2017,AK,Alaska,Census,Census - Population,United States Census Bureau,Count,94917,Male,<18,"(64.84507995700051, -147.72205903599973)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,02,CEN,100CEN,100POP,2GEN,11AGE,CEN06,6
2017,AK,Alaska,Census,Census - Population,United States Census Bureau,Count,353003,Female,Total,"(64.84507995700051, -147.72205903599973)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,02,CEN,100CEN,100POP,3GEN,8AGE,CEN07,7
2017,AK,Alaska,Census,Census - Population,United States Census Bureau,Count,262992,Female,18+,"(64.84507995700051, -147.72205903599973)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,02,CEN,100CEN,100POP,3GEN,10AGE,CEN08,8
2017,AK,Alaska,Census,Census - Population,United States Census Bureau,Count,90011,Female,<18,"(64.84507995700051, -147.72205903599973)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,02,CEN,100CEN,100POP,3GEN,11AGE,CEN09,9
2017,AZ,Arizona,Census,Census - Population,United States Census Bureau,Count,7016270,Total,Total,"(34.865970280000454, -111.76381127699972)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,04,CEN,100CEN,100POP,1GEN,8AGE,CEN01,1
2017,AZ,Arizona,Census,Census - Population,United States Census Bureau,Count,5382780,Total,18+,"(34.865970280000454, -111.76381127699972)","PEP_2016_PEPAGESEX, Factfinder2.census.gov",06/22/2018 12:00:00 AM,04,CEN,100CEN,100POP,1GEN,10AGE,CEN02,2
